anime_id,name,genre,episodes,rating,members
1,Cowboy Bebop,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",26,8.82,486824
6,Trigun,"Action, Comedy, Sci-Fi",26,8.32,283069
7,Witch Hunter Robin,"Action, Drama, Magic, Mystery, Police, Supernatural",26,7.36,64905
8,Beet the Vandel Buster,"Adventure, Fantasy, Shounen, Supernatural",52,7.06,9848
15,Eyeshield 21,"Action, Comedy, Shounen, Sports",145,8.08,83648
16,Hachimitsu to Clover,"Comedy, Drama, Josei, Romance",24,8.18,130646
17,Hungry Heart: Wild Striker,"Comedy, Shounen, Slice of Life, Sports",52,7.74,13469
18,Initial D Fourth Stage,"Action, Cars, Drama, Seinen, Sports",24,8.24,41584
19,Monster,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller",74,8.72,247562
20,Naruto,"Action, Comedy, Martial Arts, Shounen, Super Power",220,7.81,683297
21,One Piece,"Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power",Unknown,8.58,504862
22,Prince of Tennis,"Action, Comedy, School, Shounen, Sports",178,8.04,87643
23,Ring ni Kakero 1,"Action, Shounen, Sports",12,6.7,2224
24,School Rumble,"Comedy, Romance, School, Shounen",26,8.06,178553
25,Sunabouzu,"Action, Adventure, Comedy, Ecchi, Sci-Fi, Shounen",24,7.55,65516
26,Texhnolyze,"Action, Drama, Psychological, Sci-Fi",22,7.78,95859
27,Trinity Blood,"Action, Supernatural, Vampire",24,7.44,113791
28,Yakitate!! Japan,"Comedy, Shounen",69,8.05,50876
29,Zipang,"Action, Drama, Historical, Military, Sci-Fi, Seinen",26,7.56,8630
30,Neon Genesis Evangelion,"Action, Dementia, Drama, Mecha, Psychological, Sci-Fi",26,8.32,461946
33,Berserk,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural",25,8.4,226430
45,Rurouni Kenshin: Meiji Kenkaku Romantan,"Action, Adventure, Comedy, Historical, Romance, Samurai",94,8.43,218928
48,.hack//Sign,"Adventure, Fantasy, Game, Magic, Mystery, Sci-Fi",26,7.14,110304
50,Aa! Megami-sama! (TV),"Comedy, Magic, Romance, Seinen, Supernatural",24,7.45,96694
52,Kidou Tenshi Angelic Layer,"Comedy, Drama, Sci-Fi, Shounen, Sports",26,7.32,39758
53,Ai Yori Aoshi,"Comedy, Drama, Harem, Romance, Slice of Life",24,7.24,66597
55,Arc the Lad,"Action, Adventure, Fantasy, Horror, Sci-Fi",26,6.62,10392
56,Avenger,"Adventure, Fantasy, Sci-Fi, Shounen",13,6.02,12286
57,Beck,"Comedy, Drama, Music, Shounen, Slice of Life",26,8.4,148328
58,Blue Gender,"Adventure, Drama, Horror, Mecha, Military, Romance, Sci-Fi, Space",26,7.13,40581
59,Chobits,"Comedy, Drama, Ecchi, Romance, Sci-Fi, Seinen",26,7.57,266846
60,Chrno Crusade,"Action, Demons, Historical, Romance, Supernatural",24,7.8,140865
61,D.N.Angel,"Action, Comedy, Fantasy, Magic, Romance, School, Shoujo",26,7.35,126914
62,D.C.: Da Capo,"Drama, Harem, Magic, Romance",26,6.93,49909
63,DearS,"Comedy, Ecchi, Harem, Romance, Sci-Fi",12,6.8,91037
64,Rozen Maiden,"Action, Comedy, Drama, Magic, Seinen",12,7.57,128688
65,Rozen Maiden: Träumend,"Action, Comedy, Drama, Magic, Seinen",12,7.78,72645
66,Azumanga Daioh,"Comedy, School, Slice of Life",26,8.06,170901
67,Basilisk: Kouga Ninpou Chou,"Action, Adventure, Fantasy, Historical, Romance, Samurai, Supernatural",24,7.68,98144
68,Black Cat,"Adventure, Comedy, Sci-Fi, Shounen, Super Power",23,7.52,150512
69,Cluster Edge,"Action, Fantasy, Military, Sci-Fi",25,6.48,6995
71,Full Metal Panic!,"Action, Comedy, Mecha, Military, Sci-Fi",24,7.81,256325
72,Full Metal Panic? Fumoffu,"Action, Comedy, School",12,8.21,171086
73,Full Metal Panic! The Second Raid,"Action, Mecha, Military",13,8.06,155340
74,Gakuen Alice,"Comedy, Magic, School, Shoujo",26,7.8,52995
75,Soukyuu no Fafner: Dead Aggressor,"Action, Drama, Mecha, Military, Sci-Fi",25,7.38,27516
76,Mahou Shoujo Lyrical Nanoha,"Action, Comedy, Drama, Magic, Super Power",13,7.52,62582
77,Mahou Shoujo Lyrical Nanoha A&#039;s,"Action, Comedy, Drama, Magic, Super Power",13,8.1,41685
79,Shuffle!,"Comedy, Drama, Ecchi, Fantasy, Harem, Magic, Romance, School, Seinen",24,7.31,158772
80,Mobile Suit Gundam,"Action, Mecha, Military, Sci-Fi, Space",43,7.89,51566
85,Mobile Suit Zeta Gundam,"Drama, Mecha, Military, Sci-Fi, Space",50,8.03,28959
86,Mobile Suit Gundam ZZ,"Comedy, Drama, Mecha, Military, Sci-Fi, Space",47,6.81,17517
