anime_id,name,genre,episodes,rating
34490,Sushi Azarashi,Comedy,30,3
34363,Ocha-ken: Ryokutto Monogatari,"Kids, Slice of Life",13,8
33842,Fushigi no Yappo Shima: Pukipuki to Poi,Kids,25,8.5
33792,Feng Shu Zhan Jing 2,"Adventure, Kids, Mecha",26,8
34249,Aqua Kids,"Adventure, Kids",26,6.5
33084,Wa Wa Wa Wappi-chan 2nd Season,Kids,26,5.67
34358,Ocha-ken: Hotto Monogatari,"Kids, Slice of Life",13,6.67
33083,Wa Wa Wa Wappi-chan,Kids,26,4.75
34078,Ukkari Pénélope (2013),"Kids, Slice of Life",13,7
32585,Telemonster,Adventure,-1,8.5
30906,Malta no Bouken,"Kids, Slice of Life",12,5.33
31692,Gogulyeoui Jeolm-eun Musadeul,Historical,-1,4.75
32821,Xiong Chu Mo Zhi Dongri Le Fantian,"Comedy, Kids",52,5.67
32819,Xiong Chu Mo Zhi Conglin Zhongdongyuan,"Comedy, Kids",104,5.67
30117,Monpy,"Adventure, Kids",18,5.67
32580,Uniminipet,"Adventure, Fantasy",26,6.75
32820,Xiong Chu Mo Zhi Chunri Dui Dui Peng,"Adventure, Comedy, Kids",52,6.33
33583,Nana Moon,"Fantasy, Kids",52,6
32818,Xiong Chu Mo Zhi Huanqiu Da Maoxian,"Comedy, Kids",104,6.33
32419,Chibinacs 3,Comedy,25,4.43
32418,Chibinacs 2.0,Comedy,25,4.33
33300,Manga Kotowaja Jiten,"Comedy, Historical",88,6.5
32237,Burutabu-chan,"Comedy, Fantasy, Magic",-1,5
29473,Toko-chan Chokkin,"Adventure, Historical, Kids, Slice of Life",3,6.67
30129,Konna Ko Iru kana,Kids,-1,4
30116,Yancharu Moncha,Kids,80,7.33
29740,Notteke Explet&#039;s,Kids,26,5.33
30409,Nepos Napos,"Fantasy, Kids",26,7.67
29485,Talpy,"Fantasy, Kids",12,8.25
29747,Warai no Show Gakkou,"Comedy, Kids",20,6
32590,Taeng-gu &amp; Ulasyong,"Action, Comedy, Mecha",26,4
30025,Otenki Boys,"Kids, Super Power",30,6.33
31924,Monchhichiisu,Kids,20,4.8
31464,Pichiko Dakyuubu,"Comedy, Sports",29,5
32807,Xiong Chu Mo,"Comedy, Kids",104,5.67
30026,Ekubo Ouji,"Comedy, Kids",50,6.5
33123,Koto Nakare Hero Gingerman,Comedy,12,3.8
32417,Chibinacs,Comedy,25,5.5
30118,Futari wa Nakayoshi: Goo to Sue,"Kids, Slice of Life",84,4.75
29209,Tomodachi de Iyou ne,"Kids, Slice of Life",26,7.5
31691,Tam Mao Phieu Luu Ky Ta,"Comedy, Historical, Kids",25,6.1
30121,Fushigina Ano Ko wa Sutekina Kono Ko,"Adventure, Kids",-1,4
29369,Tick &amp; Tack,"Fantasy, Kids",10,5.5
34207,Dochamon Junior 2,"Comedy, Kids",-1,6
31696,Witch Village Story,Slice of Life,24,4.71
29507,Hamster Sam,"Kids, Music",4,6
29489,Karasu no Puuta,Kids,-1,8
29746,Kaden Manzai John TV Show!,Comedy,25,5.67
29387,Momonga-mon,"Adventure, Kids",5,5.8
30027,Meisaku World,"Adventure, Fantasy, Historical, Kids, Magic, Supernatural",39,8
29745,Korokoro Animal,Kids,60,6
29371,Naccio to Pomm,"Adventure, Kids, Sci-Fi",41,4.75
29425,Teach,"Adventure, Kids, Music",4,7
26089,Gutchonpa Omoshiro Hanashi,Kids,5,6.67
29389,Shiro Hon,"Adventure, Kids",6,6.5
30057,Mabeobsaui Adeul Koli,"Adventure, Comedy, Fantasy",13,4.2
33310,Peach Command Shin Momotarou Densetsu,"Adventure, Comedy",24,6.6
29435,Ongaku Sekai Ryokou,"Kids, Music",-1,2.67
29759,Korokoro Animal 2,Kids,51,4.67
32221,Robocar Poli 2,"Cars, Kids, Police",26,5.45
30140,Xing Mao Lixian Ji Zhi Shu Fa Pian,"Adventure, Kids",26,6.33
29375,Robot Pulta,"Adventure, Comedy, Kids, Mecha",40,5
31700,Xiao Taiji,"Action, Kids, Martial Arts",14,5.86
29748,Kabushiki Kaisha Zoo,"Comedy, Kids",12,6.33
29844,Nekoronde TV.,Comedy,12,4.55
29373,Bip to Bap,"Adventure, Kids",4,4.2
32136,Narara Superboard,"Action, Adventure, Comedy",54,4.83
30120,Spoon-hime no Swing Kitchen,"Adventure, Kids",-1,9.6
29401,Shiritori Oukoku,Kids,3,4.71
29467,Bubaga,"Adventure, Kids",8,7.6
29385,Chii-chan to Hige Ojisan,"Kids, Slice of Life",10,5.8
29367,Jam the Housnail,"Adventure, Kids",15,7
29469,Daisuki! Nendomama,"Fantasy, Kids, Slice of Life",9,5.75
25607,Sekai no Fushigi Tanken Series,"Adventure, Fantasy, Historical",10,6.2
28019,Slippy Dandy,"Action, Kids, Mystery",4,5.75
28089,Oyo Neko Bunyan,"Comedy, Kids",31,6
30138,Rusuden Hour: Sodan Brothers,Comedy,25,7.67
31898,Robocar Poli,"Cars, Comedy, Kids",26,4.85
33085,Unko-san: Tsuiteru Hito ni Shika Mienai Yousei Junjou Ha,"Comedy, Magic",13,6.2
27965,Maboroshi Mabo-chan,"Adventure, Fantasy, Kids",24,6
27461,Pororo&#039;s English Show,"Kids, Music",13,5.31
25615,Genki Genki Non-tan (2006),"Kids, Music",10,6
25611,Genki Genki Non-tan (2004),"Kids, Music",10,6
25589,Yeongsimi,"Comedy, Kids, School, Slice of Life",13,6.5
27369,Eigo de Asobo: Tanken Goblin Tou,"Adventure, Comedy, Fantasy, Kids",100,5
33383,Mask Masters,"Action, Adventure",26,8
30914,Animax Taisou,"Kids, Sports",-1,4.67
31701,Wu Lan Qi Qi Ge,"Historical, Kids",26,6.25
31547,Ryouma 30 Seconds,Historical,5,8.8
32630,Coral no Tanken,"Adventure, Kids, Music",50,6.14
29487,Paniponi,"Kids, Slice of Life",-1,4.75
27453,Pororo-wa Noraehaeyo,"Kids, Music",14,5.36
30048,Kkurukkuruwa Chingudeul,"Adventure, Comedy, Kids, Slice of Life",13,4.2
23973,Fuku-chan,"Kids, Slice of Life",71,5
25609,Genki Genki Non-tan,"Kids, Music",15,6.17
24121,Patta Potta Monta,"Comedy, Kids, Slice of Life",26,5.6
30060,Chii Jiaan Chuaanqii,"Action, Adventure, Fantasy",26,5.33
27681,Sasurai-kun,"Comedy, Slice of Life",13,6
22219,Warera Salaryman Tou,"Comedy, Slice of Life",26,8.67
30034,Dolittle-sensei Monogatari,"Adventure, Kids",13,6.5
31893,The Legend of Huainanzi 2nd Season,"Adventure, Fantasy, Historical",26,7
24041,Jarujio Animal,"Adventure, Comedy, Parody",10,8.33
9956,The Primitives: Bongo and Grunge,Comedy,52,5.5
21981,Pic-lele,Kids,-1,6.33
32448,Kirin Ashita no Calendar,"Historical, Kids",1306,6.43
26087,Mama Ohanashi Kikasete,"Fantasy, Kids",15,7.4
27455,Porong Porong Pororo 3,"Kids, Sci-Fi",52,5.42
21019,Nunbori,"Fantasy, Kids",26,6.17
31674,Larva 3rd Season,Comedy,26,7.09
24875,Barnacle Lou,Kids,52,6.33
27551,Deko Boko Friends,"Comedy, Kids",-1,7.14
24465,Heli-Tako Puu-chan,"Comedy, Kids",42,6.86
23347,Gan to Gon,"Comedy, Kids",260,6.7
34234,Ohayou! Kokekkou-san,Comedy,-1,2.75
29427,Mori no Ratio,"Adventure, Fantasy, Kids",-1,5
23015,Hazedon,"Adventure, Comedy, Kids",26,5.8
29471,Saikin Ponta,"Kids, Slice of Life",12,6
27467,Yoligongju Loopy,"Kids, Magic",6,5.47
27451,Porong Porong Pororo 2,Kids,52,5.57
22999,Nippon Tanjou,Historical,5,5.4
20199,Ganbare Gonbe,"Comedy, Kids, Parody",77,6.67
25059,"Nikoniko, Pun","Comedy, Fantasy, Kids",40,5.88
20023,Otanoshimi Anime Gekijou,Comedy,26,6.83
27393,Kyuumei Senshi Nanosaver,"Adventure, Shounen",28,5.75
21553,Asobo Toy-chan,Kids,53,6.14
33262,Chobitto Zukan,"Fantasy, Kids",52,4.5
10242,Ton-Ton Atta to Niigata no Mukashibanashi,Comedy,13,6.54
21485,Dokkan! Robotendon,"Adventure, Kids, Slice of Life",26,6.29
20003,Roppou Yabure-kun,Slice of Life,110,6.75
18573,Noobow,"Kids, Slice of Life",26,6.25
33099,Washimo 4th Season,"Comedy, Kids, School, Sci-Fi, Slice of Life",-1,5.6
34235,Pittanko! Nekozakana,Comedy,-1,5.67
