id,name,genres,episodes,rating,members,top_related_id,weight
34525,Centaur no Nayami,"Comedy, Fantasy, Slice of Life, Supernatural",-1,-1,108
34503,Kochinpa! Dainiki,"Comedy",24,3.4,75
34502,Inazma Delivery,"Action, Comedy, Sci-Fi",10,-1,32
34501,Kenka Banchou Otome: Girl Beats Boys,"34501, enka Banchou Otome: Girl Beats Boys",-1,-1,319
34490,Sushi Azarashi,"Comedy",30,3,12
34485,Ganko-chan,"Default",-1,-1,11
34467,Yami Shibai 4th Season,"Dementia, Horror, Supernatural",-1,-1,1838
34445,Yuuki Yuuna wa Yuusha de Aru: Yuusha no Shou,"Drama, Fantasy, Magic, Slice of Life",6,-1,4439
34427,Frame Arms Girl,"Mecha",-1,-1,258
34383,Netsuzou TRap,"Drama, Shoujo Ai",-1,-1,1783
34338,Finis,"Default",-1,-1,208
34292,Kamigami no Ki,"Default",-1,4.33,76
34289,Schoolgirl Strikers: Animation Channel,"Action, School",-1,-1,1465
34280,Gamers!,"Comedy, Romance, School",-1,-1,1045
34279,Grancrest Senki,"Action, Fantasy",-1,-1,360
34262,Oushitsu Kyoushi Haine,"Comedy, Historical, Shounen",-1,-1,321
34257,Cinderella Girls Gekijou,"Comedy, Slice of Life",-1,-1,2479
34233,Kimoshiba,"Comedy",-1,7,81
34208,Escha Chron,"Sci-Fi",-1,-1,797
34207,Dochamon Junior 2,"Comedy, Kids",-1,6,41
34156,PePePePengiin,"Comedy",-1,7.24,217
34148,Nyanko Days,"Comedy, Slice of Life",-1,-1,1335
34134,One Punch Man 2,"Action, Comedy, Parody, Sci-Fi, Seinen, Super Power, Supernatural",-1,-1,90706
34102,Sakurada Reset,"Mystery, School, Super Power, Supernatural",-1,-1,2076
34096,Gintama (2017),"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",-1,-1,13383
34088,Chiruran: Nibun no Ichi,"Action, Historical",-1,-1,1036
34078,Ukkari Pénélope (2013),"Kids, Slice of Life",13,7,32,"33421,1,33021,1,32792,1,32360,1,31798,1,30721,1,27785,1,22147,1,14833,1,13307,1,5220,1,12611,1,12471,1,12461,1,2287,1"
34077,Cardfight!! Vanguard G: Next,"Action, Game, Shounen",-1,7.16,1363
34076,Uchouten Kazoku 2,"Comedy, Drama, Fantasy, Slice of Life",-1,-1,5934
34055,Berserk (2017),"Action, Adventure, Demons, Drama, Fantasy, Horror, Magic, Military, Romance, Supernatural",-1,-1,13463
34051,Akiba&#039;s Trip The Animation,"Action, Adventure, Ecchi, Supernatural",-1,-1,5889
34034,Pokemon Sun &amp; Moon,"Action, Game, Kids, School",-1,7.23,11030
34019,Tsugumomo,"Action, Comedy, Ecchi, School, Seinen, Supernatural",-1,-1,1303
34013,Hagane Orchestra,"Adventure, Comedy",12,5.69,1499
34012,Isekai Shokudou,"Comedy, Fantasy, Mystery",-1,-1,749
34009,To Be Hero,"Comedy",12,6.61,14718
33985,Bloodivores,"Action, Supernatural, Vampire",12,5.95,36827
33983,Onihei,"Historical, Seinen",13,-1,1716
33975,3-Nen D-Gumi Glass no Kamen,"Comedy, Parody, School",13,5.06,836
33889,Saredo Tsumibito wa Ryuu to Odoru,"Action, Drama, Fantasy, Sci-Fi",-1,-1,416
33852,Mekakucity Reload,"Comedy, Romance, Sci-Fi, Super Power, Supernatural",-1,-1,14017
33840,Kabukibu!,"School",-1,-1,995
33836,Seiren,"School",12,-1,6809
33814,Ao Oni The Animation,"Horror",-1,4.88,7413
33795,Mahou Shoujo Nante Mou Ii Desukara. 2nd Season,"Comedy, Magic",12,6.32,5676
33782,Life!,"Comedy, Slice of Life",-1,5.25,91
33775,Soul Buster,"Action, Samurai",12,6.01,11086,"32935,1,31741,1,28617,1,11633,1,4224,1,877,1,14397,1,24415,1,22547,1,4814,1,22319,1,21881,1,550,1,20583,1,19769,1"
33743,Fuuka,"Drama, Ecchi, Music, Romance, School, Shounen",-1,-1,9854
33737,Megaton-kyuu Musashi,"Mecha, School",-1,-1,173
33733,Inazuma Eleven: Ares no Tenbin,"Sports",-1,-1,1984
33731,Gabriel DropOut,"Comedy, School, Shounen, Supernatural",-1,-1,4139
33690,Nazotokine,"Game",12,4.86,7284
33589,ViVid Strike!,"Default",12,6.96,12345
33573,BanG Dream!,"Music",-1,-1,1953
33572,Idol Memories,"Music",12,5.31,5027
33562,Heibai Wushang,"Action, Comedy, Supernatural",12,7.6,216
33541,Bishoujo Yuugi Unit Crane Game Girls Galaxy,"Comedy, Game, Space",-1,5.04,1624
33540,Shima Kousaku no Asia Shinseki-den,"Cars, Drama, Seinen",-1,7,165
